Timestamp,Category,Activity,Keystrokes,Gaze,Emotion,Eyes
153639448,Work,Google Chrome :: https://www.google.com.sg/search?rlz=1C5CHFA_enSG730SG730&ei=1YSTW7CaA4nOvgT_9b-4Dg&q=spotify+listener+to+change+in+song+developer&oq=spotify+listener+to+change+in+song+developer&gs_l=psy-ab.3...4586.5887.0.6090.10.10.0.0.0.0.133.873.6j4.10.0....0...1c.1.64.psy-ab..0.9.818...33i160k1j33i21k1j33i13i21k1.0.7lCpAT_58k,0,2,6,False
153639449,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,2,6,False
153639449,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/libraries,0,2,6,True
153639450,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/libraries,0,2,6,True
153639451,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/quick-start,0,2,6,True
153639452,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/quick-start,0,2,6,True
153639453,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/quick-start,0,0,3,True
153639454,Work,Google Chrome :: https://developer.spotify.com/console/get-recently-played/?type=track&limit=30&after=&before,0,2,6,True
153639455,Work,Google Chrome :: https://developer.spotify.com/console/get-recently-played/?type=track&limit=30&after=&before,0,0,5,True
153639456,Work,Google Chrome :: https://developer.spotify.com/console/get-recently-played/?type=track&limit=30&after=&before,0,2,6,True
153639457,Work,Google Chrome :: https://developer.spotify.com/console/get-recently-played/?type=track&limit=30&after=&before,0,0,6,True
153639458,Work,Google Chrome :: https://developer.spotify.com/console/get-recently-played/?type=track&limit=30&after=&before,0,2,6,True
153639459,Work,Google Chrome :: https://www.facebook.com/v2.3/dialog/oauth?client_id=174829003346&state=AQBy5HXG-A3y0UuKA1VJx_Vxvx3fGs_ltAJOc_WrjTtcMvBfYRSB1Y1ibbnE-L-9d8P_aqieZV7ZWOs-U7pCIdLWFPrIxGOVVn3oWcanl8KLsvPCgxj2ezDcSX516Aqvqbnl&redirect_uri=https%3A%2F%2Faccounts.spotify.com%2Fapi%2Ffacebook%2Foauth%2Faccess_toke,0,2,6,True
153639460,Work,Google Chrome :: https://developer.spotify.com/console/get-recently-played/?type=track&limit=30&after=&before,0,0,6,True
153639461,Work,Google Chrome :: https://developer.spotify.com/console/get-recently-played/?type=track&limit=30&after=&before,0,2,6,True
153639461,Work,Google Chrome :: https://developer.spotify.com/console/get-recently-played/?type=track&limit=30&after=&before,0,2,6,True
153639462,Work,Google Chrome :: https://developer.spotify.com/console/get-recently-played/?type=track&limit=30&after=&before,0,0,6,False
153639463,Work,Google Chrome :: https://developer.spotify.com/console/get-recently-played/?type=track&limit=30&after=&before,7,1,6,True
153639464,Work,Google Chrome :: https://developer.spotify.com/console/get-recently-played/?type=track&limit=30&after=&before,18,1,6,True
153639465,Work,Google Chrome :: https://developer.spotify.com/console/get-recently-played/?type=track&limit=30&after=&before,5,1,6,True
153639466,Work,Google Chrome :: https://developer.spotify.com/console/player,0,2,6,True
153639467,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player,0,2,6,True
153639468,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player,0,2,6,True
153639469,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player,0,1,6,True
153639470,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player,0,1,6,True
153639471,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/quick-start,0,2,6,True
153639472,Work,Google Chrome :: https://developer.spotify.com,0,2,6,True
153639472,Work,Google Chrome :: https://developer.spotify.com/documentation,0,0,6,True
153639473,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,2,6,True
153639474,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,2,6,True
153639475,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player,0,2,6,True
153639476,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player,0,2,6,True
153639477,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,2,6,True
153639478,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,2,6,True
153639479,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,0,6,True
153639480,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,2,6,True
153639481,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,2,6,False
153639482,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,2,6,True
153639482,Entertainment,Spotify,0,2,6,True
153639483,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,0,0,True
153639484,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,2,6,True
153639485,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,1,6,True
153639486,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,2,6,True
153639487,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,2,6,True
153639488,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,0,6,True
153639489,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,2,6,True
153639490,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,2,6,True
153639491,Work,Google Chrome :: https://developer.spotify.com/console/get-user-player/?market,0,2,6,True
153639492,Work,Google Chrome :: https://developer.spotify.com/console/player,0,2,6,True
153639493,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,0,2,6,True
153639493,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,0,2,6,True
153639494,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,0,2,6,False
153639495,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,0,0,6,True
153639496,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,6,2,6,True
153639497,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,0,2,6,True
153639498,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,18,2,6,True
153639499,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,5,2,6,True
153639500,Work,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,4,2,6,True
153639501,Work,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,8,2,6,False
153639502,Work,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,11,2,1,True
153639503,Work,Google Chrome :: https://www.google.com.sg/search?q=spotify+api+find+track+type&rlz=1C5CHFA_enSG730SG730&oq=spotify+api+find+track+type&aqs=chrome..69i57.26099j0j4&sourceid=chrome&ie=UTF-,20,2,6,True
153639504,Work,Google Chrome :: https://www.google.com.sg/search?q=spotify+api+find+track+type&rlz=1C5CHFA_enSG730SG730&oq=spotify+api+find+track+type&aqs=chrome..69i57.26099j0j4&sourceid=chrome&ie=UTF-,0,0,6,True
153639504,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/tracks/get-audio-analysis,0,2,6,False
153639505,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/tracks/get-audio-analysis,0,2,6,True
153639506,Work,Google Chrome :: https://www.google.com.sg/search?q=spotify+api+find+track+type&rlz=1C5CHFA_enSG730SG730&oq=spotify+api+find+track+type&aqs=chrome..69i57.26099j0j4&sourceid=chrome&ie=UTF-,8,2,6,True
153639507,Entertainment,Spotify,7,2,6,True
153639508,Entertainment,Spotify,0,2,6,True
153639509,Work,Google Chrome :: https://www.google.com.sg/search?rlz=1C5CHFA_enSG730SG730&ei=QIeTW63-NKWOvQT5lZXQDQ&q=spotify+api+get+current+song+genre&oq=spotify+api+get+current+song+genre&gs_l=psy-ab.3..33i22i29i30k1.14457.18229.0.18312.13.11.1.1.1.0.81.615.10.10.0....0...1c.1.64.psy-ab..1.12.613...0j0i20i263k1j0i22i30k1j33i160k1.0.vpSRBdwa1F,15,2,6,True
153639510,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/player/get-the-users-currently-playing-track,0,2,6,True
153639511,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/player/get-the-users-currently-playing-track,0,1,6,True
153639512,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/player/get-the-users-currently-playing-track,0,2,6,True
153639513,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/player/get-the-users-currently-playing-track,0,2,6,True
153639514,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/player/get-the-users-currently-playing-track,0,2,6,True
153639515,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/player/get-the-users-currently-playing-track,5,2,6,True
